iter	Passed	Remaining
408	4466	6453
409	4476	6441
410	4484	6427
411	4495	6416
412	4502	6399
413	4513	6388
414	4524	6377
415	4531	6361
416	4539	6346
417	4547	6332
418	4560	6324
419	4576	6319
420	4586	6307
421	4597	6296
422	4606	6283
423	4612	6266
424	4621	6252
425	4628	6236
426	4640	6226
427	4645	6209
428	4657	6199
429	4664	6182
430	4676	6173
431	4685	6160
432	4690	6142
433	4700	6129
434	4707	6114
435	4714	6099
436	4721	6083
437	4731	6070
438	4741	6059
439	4749	6045
440	4756	6029
441	4766	6016
442	4774	6003
443	4787	5995
444	4792	5977
445	4800	5962
446	4808	5948
447	4833	5955
448	4862	5966
449	4880	5964
450	4887	5949
451	4895	5935
452	4902	5919
453	4910	5905
454	4916	5888
455	4927	5878
456	4934	5863
457	4947	5854
458	4962	5849
459	4975	5840
460	4984	5827
461	4994	5815
462	4999	5798
463	5008	5785
464	5017	5772
465	5024	5757
466	5032	5743
467	5050	5741
468	5065	5735
469	5077	5726
470	5101	5729
471	5115	5722
472	5127	5713
473	5133	5697
474	5146	5688
475	5157	5677
476	5168	5666
477	5178	5655
478	5191	5647
479	5200	5633
480	5208	5619
481	5215	5605
482	5228	5596
483	5236	5583
484	5243	5567
485	5252	5555
486	5271	5552
487	5279	5538
488	5293	5532
489	5304	5520
490	5313	5508
491	5324	5497
492	5335	5487
493	5351	5481
494	5361	5469
495	5385	5472
496	5394	5459
497	5403	5447
498	5424	5446
499	5442	5442
500	5462	5440
501	5476	5433
502	5486	5421
503	5500	5413
504	5506	5397
505	5514	5383
506	5541	5388
507	5558	5383
508	5569	5372
509	5579	5360
510	5593	5352
511	5614	5350
512	5623	5338
513	5635	5328
514	5650	5321
515	5660	5309
516	5670	5297
517	5679	5284
518	5686	5270
519	5695	5257
520	5704	5244
521	5713	5232
522	5724	5220
523	5730	5205
524	5743	5196
525	5758	5189
526	5768	5177
527	5776	5163
528	5781	5147
529	5797	5141
530	5803	5125
531	5812	5113
532	5819	5098
533	5827	5085
534	5834	5070
535	5842	5057
536	5850	5044
537	5860	5032
538	5865	5016
539	5874	5004
540	5882	4990
541	5891	4978
542	5897	4963
543	5906	4950
544	5912	4935
545	5921	4923
546	5925	4907
547	5932	4893
548	5940	4879
549	5944	4863
550	5948	4847
551	5955	4833
552	5960	4818
553	5966	4803
554	5973	4789
555	5979	4775
556	5988	4763
557	5993	4747
558	6001	4734
559	6010	4722
560	6016	4707
561	6025	4696
562	6037	4686
563	6053	4679
564	6073	4676
565	6088	4668
566	6097	4656
567	6110	4647
568	6123	4638
569	6143	4634
570	6151	4622
571	6164	4612
572	6179	4604
573	6192	4595
574	6202	4584
575	6219	4578
576	6231	4568
577	6237	4554
578	6251	4545
579	6262	4535
580	6272	4523
581	6278	4509
582	6289	4498
583	6295	4484
584	6304	4472
585	6312	4459
586	6320	4447
587	6331	4436
588	6343	4426
589	6354	4415
590	6360	4401
591	6371	4391
592	6377	4377
593	6388	4366
594	6397	4354
595	6405	4342
596	6415	4331
597	6423	4318
598	6431	4305
599	6440	4293
600	6453	4284
601	6466	4275
602	6475	4263
603	6481	4249
604	6488	4236
605	6500	4226
606	6513	4217
607	6521	4204
608	6533	4194
609	6546	4185
610	6552	4171
611	6557	4157
612	6566	4145
613	6572	4131
614	6581	4120
615	6587	4106
616	6595	4093
617	6608	4084
618	6619	4074
619	6630	4063
620	6642	4053
621	6650	4041
622	6659	4029
623	6672	4020
624	6678	4007
625	6688	3995
626	6699	3985
627	6705	3972
628	6710	3958
629	6717	3945
630	6725	3933
631	6733	3920
632	6739	3907
633	6747	3895
634	6756	3883
635	6761	3869
636	6770	3858
637	6786	3850
638	6797	3840
639	6805	3827
640	6816	3817
641	6835	3811
642	6844	3799
643	6852	3787
644	6863	3777
645	6869	3764
646	6876	3751
647	6887	3741
648	6896	3729
649	6904	3717
650	6913	3706
651	6921	3694
652	6930	3682
653	6937	3670
654	6946	3658
655	6958	3648
656	6967	3637
657	6975	3625
658	6990	3617
659	6999	3605
660	7005	3592
661	7019	3583
662	7028	3572
663	7033	3559
664	7042	3547
665	7049	3535
666	7061	3525
667	7068	3513
668	7080	3502
669	7091	3493
670	7098	3480
671	7104	3467
672	7114	3456
673	7118	3443
674	7127	3431
675	7132	3418
676	7139	3406
677	7145	3393
678	7150	3380
679	7157	3368
680	7162	3355
681	7168	3342
682	7177	3331
683	7189	3321
684	7197	3309
685	7205	3297
686	7214	3287
687	7224	3276
688	7229	3263
689	7237	3251
690	7248	3241
691	7255	3229
692	7260	3216
693	7269	3205
694	7275	3192
695	7280	3179
696	7289	3168
697	7295	3156
698	7306	3146
699	7313	3134
700	7318	3121
701	7325	3109
702	7333	3098
703	7339	3085
704	7348	3074
705	7358	3064
706	7367	3053
707	7378	3043
708	7386	3031
709	7399	3022
710	7405	3010
711	7414	2999
712	7420	2987
713	7428	2975
714	7437	2964
715	7444	2952
716	7449	2940
717	7463	2931
718	7470	2919
719	7478	2908
720	7483	2895
721	7492	2884
722	7503	2874
723	7513	2864
724	7522	2853
725	7536	2844
726	7550	2835
727	7559	2824
728	7568	2813
729	7576	2802
730	7584	2791
731	7596	2781
732	7606	2770
733	7617	2760
734	7627	2749
735	7632	2737
736	7643	2727
737	7648	2715
738	7657	2704
739	7666	2693
740	7676	2683
741	7683	2671
742	7696	2662
743	7708	2652
744	7719	2642
745	7733	2633
746	7743	2622
747	7769	2617
748	7777	2606
749	7791	2597
750	7806	2588
751	7815	2577
752	7827	2567
753	7845	2559
754	7855	2549
755	7864	2538
756	7877	2528
757	7893	2520
758	7909	2511
759	7918	2500
760	7925	2489
761	7930	2477
762	7936	2465
763	7942	2453
764	7949	2441
765	7953	2429
766	7959	2417
767	7977	2409
768	7993	2401
769	8010	2392
770	8019	2382
771	8028	2371
772	8034	2359
773	8042	2348
